Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),Conso_1pt (KWh),Région
2022-07-11,32,Summer,période 2,School Holidays,26823.689784,319.0270671743966,Hauts-de-France
2022-07-12,24,Summer,période 2,School Holidays,14232.78374,337.46748537443193,Centre-Val de Loire
2022-07-12,32,Summer,période 2,School Holidays,27287.475075,333.77443158433186,Hauts-de-France
2022-07-13,24,Summer,période 2,School Holidays,14332.854216,339.57552669481,Centre-Val de Loire
2022-07-13,32,Summer,période 2,School Holidays,27478.831855,334.70126969561363,Hauts-de-France
2022-07-14,24,Summer,période 2,National Holidays,14097.645576,325.4120697884084,Centre-Val de Loire
2022-07-14,32,Summer,période 2,National Holidays,27035.611622,320.9574612939905,Hauts-de-France
2022-07-15,24,Summer,période 2,School Holidays,14176.711777,320.9768766470021,Centre-Val de Loire
2022-07-15,32,Summer,période 2,School Holidays,27156.73622,315.6708899099126,Hauts-de-France
2022-07-16,24,Summer,période 2,Week-end,14027.220478,318.0223387503901,Centre-Val de Loire
2022-07-16,32,Summer,période 2,Week-end,26798.539125,312.46493059012573,Hauts-de-France
2022-07-17,24,Summer,période 2,Week-end,14032.007131,310.1250528324123,Centre-Val de Loire
2022-07-17,32,Summer,période 2,Week-end,26829.231353,307.1227598378761,Hauts-de-France
2022-07-18,24,Summer,période 2,School Holidays,14740.75556,334.5597689296159,Centre-Val de Loire
2022-07-18,32,Summer,période 2,School Holidays,28211.713016,326.0861473358543,Hauts-de-France
2022-07-19,24,Summer,période 2,School Holidays,15003.82156,344.1513908503695,Centre-Val de Loire
2022-07-19,32,Summer,période 2,School Holidays,28711.840816,335.18784511348184,Hauts-de-France
2022-07-20,24,Summer,période 2,School Holidays,14484.655323,334.15055711186363,Centre-Val de Loire
2022-07-20,32,Summer,période 2,School Holidays,27716.182928,326.1503823740937,Hauts-de-France
2022-07-21,24,Summer,période 2,School Holidays,14274.233687,330.9723158848953,Centre-Val de Loire
2022-07-21,32,Summer,période 2,School Holidays,27255.477747,322.103705146395,Hauts-de-France
2022-07-22,24,Summer,période 2,School Holidays,14286.972802,329.02862603767375,Centre-Val de Loire
2022-07-22,32,Summer,période 2,School Holidays,27248.058507,320.9679421647604,Hauts-de-France
2022-07-23,24,Summer,période 2,Week-end,14003.789735,311.69368713417157,Centre-Val de Loire
2022-07-23,32,Summer,période 2,Week-end,26702.108379,304.73129503472575,Hauts-de-France
2022-07-24,24,Summer,période 2,Week-end,13962.536473,303.85211869484795,Centre-Val de Loire
2022-07-24,32,Summer,période 2,Week-end,26666.430219,298.61793302171134,Hauts-de-France
2022-07-25,24,Summer,période 2,School Holidays,14062.080819,319.8060945480486,Centre-Val de Loire
2022-07-25,32,Summer,période 2,School Holidays,26830.248749,310.692876513168,Hauts-de-France
2022-07-26,24,Summer,période 2,School Holidays,13768.00876,327.42882211164533,Centre-Val de Loire
2022-07-26,32,Summer,période 2,School Holidays,26208.078062,315.7109441154025,Hauts-de-France
2022-07-27,24,Summer,période 2,School Holidays,13671.538041,327.9040829427611,Centre-Val de Loire
