Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,TEMPERATURE_NIGHT_C,Rain,Season-modified,Day_type_mod
2022-05-26,24,Spring,période 22,National Holidays,14111.335193,2022-05-26,22.666666666666668,11.166666666666666,11.0,11.166666666666666,19.5,22.33333333333333,0.0,91.0,9.166666666666666,1026.0,36.333333333333336,25.0,13.833333333333334,10.166666666666666,128.0,115.0,115.0,0.0,4.333333333333333,13.833333333333334,12.333333333333334,No rain,1,3
2022-05-27,24,Spring,période 22,Normal Day,14115.620023,2022-05-27,21.83333333333333,10.666666666666666,15.833333333333334,10.833333333333334,19.666666666666668,21.166666666666668,0.0,92.5,8.791666666666666,1026.6666666666667,34.791666666666664,24.33333333333333,13.166666666666666,9.5,146.5,118.5,114.0,0.0,4.833333333333333,12.366666666666667,11.5,No rain,1,0
2022-05-28,24,Spring,période 22,Week-end,14104.295465,2022-05-28,21.33333333333333,7.666666666666667,20.0,7.833333333333333,19.33333333333333,21.0,0.0,85.5,10.0,1025.8333333333333,9.020833333333334,22.666666666666668,10.333333333333334,5.666666666666667,113.0,113.5,113.0,0.0,5.0,14.65,8.0,No rain,1,1
2022-05-29,24,Spring,période 22,Week-end,14238.433538,2022-05-29,18.0,5.833333333333333,20.33333333333333,5.833333333333333,17.666666666666668,16.5,0.0,88.5,9.833333333333334,1019.6666666666666,13.708333333333334,18.0,6.333333333333333,2.833333333333333,118.0,113.5,114.0,0.0,4.0,14.883333333333333,7.0,No rain,1,1
2022-05-30,24,Spring,période 22,Normal Day,14418.654642,2022-05-30,19.33333333333333,5.166666666666667,16.666666666666668,5.166666666666667,17.333333333333332,18.83333333333333,0.0,92.16666666666669,9.833333333333334,1013.8333333333334,18.875,19.33333333333333,6.333333333333333,2.333333333333333,118.0,114.0,115.0,0.0,4.5,14.933333333333332,5.333333333333333,No rain,1,0
2022-05-31,24,Spring,période 22,Normal Day,14287.048641,2022-05-31,22.83333333333333,9.833333333333334,8.333333333333334,10.166666666666666,21.0,22.5,0.0,72.0,10.0,1016.1666666666666,21.916666666666668,24.0,9.333333333333334,10.0,114.5,114.0,114.0,0.0,5.0,15.116666666666667,10.333333333333334,No rain,1,0
2022-06-01,24,Spring,période 22,Normal Day,14348.178532,2022-06-01,24.5,9.0,9.833333333333334,9.5,21.83333333333333,23.666666666666668,0.0,83.16666666666667,10.0,1018.6666666666666,12.6875,25.166666666666668,11.333333333333334,8.666666666666666,113.0,113.5,113.0,0.0,5.0,15.183333333333332,9.5,No rain,1,0
2022-06-02,24,Spring,période 22,Normal Day,14130.166158,2022-06-02,28.5,11.0,20.166666666666668,11.166666666666666,25.33333333333333,24.666666666666668,0.6166666666666667,79.83333333333333,9.895833333333334,1017.5,28.104166666666668,28.666666666666668,16.0,9.333333333333334,114.0,113.5,138.0,0.0,5.833333333333333,14.483333333333334,11.0,Rain,1,0
2022-06-03,24,Spring,période 22,Normal Day,14112.012718,2022-06-03,26.83333333333333,13.833333333333334,10.5,14.5,21.5,25.0,2.75,93.0,8.5625,1016.1666666666666,40.9375,27.666666666666668,17.166666666666668,13.833333333333334,144.0,215.0,163.0,0.0,5.5,14.283333333333331,13.833333333333334,Rain,1,0
2022-06-04,24,Spring,période 22,Week-end,14079.933963,2022-06-04,27.666666666666668,14.666666666666666,8.666666666666666,15.166666666666666,25.5,26.33333333333333,5.4,94.66666666666669,8.1875,1016.5,47.10416666666666,28.33333333333333,17.5,15.166666666666666,128.0,152.5,155.0,0.0,5.0,14.1,15.166666666666666,Rain,1,1
2022-06-05,24,Spring,période 22,Week-end,13826.133298,2022-06-05,24.5,13.666666666666666,19.0,14.166666666666666,23.33333333333333,21.0,3.033333333333333,96.33333333333331,8.458333333333334,1018.5,60.72916666666666,25.5,15.5,13.5,156.5,129.0,264.0,0.0,4.666666666666667,13.35,14.0,Rain,1,1
2022-06-06,24,Spring,période 22,National Holidays,14022.570527,2022-06-06,22.166666666666668,10.5,14.833333333333334,10.666666666666666,20.5,19.83333333333333,0.0,87.83333333333333,10.0,1020.3333333333334,48.41666666666666,24.0,10.833333333333334,9.5,114.0,116.5,118.0,0.0,4.333333333333333,14.9,12.166666666666666,No rain,1,3
2022-06-07,24,Spring,période 22,Normal Day,13999.680964,2022-06-07,21.166666666666668,12.5,24.33333333333333,12.666666666666666,17.833333333333332,21.166666666666668,1.0666666666666669,96.0,8.875,1018.1666666666666,77.70833333333333,23.166666666666668,14.333333333333334,11.5,235.0,195.5,176.0,0.0,4.0,12.6,13.333333333333334,Rain,1,0
2022-06-08,24,Spring,période 22,Normal Day,14111.478704,2022-06-08,22.166666666666668,12.5,23.166666666666668,13.666666666666666,16.5,21.83333333333333,2.5500000000000003,97.16666666666669,9.541666666666666,1016.8333333333334,68.54166666666667,24.166666666666668,15.166666666666666,11.833333333333334,207.5,285.5,129.0,0.0,5.0,13.083333333333334,12.5,Rain,1,0
2022-06-09,24,Spring,période 22,Normal Day,13957.662048,2022-06-09,19.666666666666668,10.666666666666666,23.33333333333333,10.666666666666666,18.666666666666668,19.5,0.3,96.66666666666669,9.229166666666666,1021.3333333333334,61.35416666666666,19.666666666666668,11.166666666666666,9.0,162.0,158.0,146.0,0.0,4.5,14.016666666666666,11.5,Rain,1,0
